BOROUGH,IS_CENTRAL_LONDON,LONDON_REGION,YEAR,TRANSACTIONS,AVG_MONTHLY_TRANSACTIONS,VOLUME_RANK,LIQUIDITY_TIER
Wandsworth,FALSE,South West London,2021,7341,612,1,High Liquidity
Tower Hamlets,FALSE,East London,2021,6107,509,2,High Liquidity
Haringey,FALSE,North London,2021,4848,404,3,High Liquidity
Lewisham,FALSE,South East London,2021,4758,397,4,High Liquidity
Waltham Forest,FALSE,East London,2021,4744,395,5,High Liquidity
Southwark,TRUE,South East London,2021,4705,392,6,High Liquidity
Greenwich,FALSE,South East London,2021,4616,385,7,High Liquidity
Lambeth,TRUE,South West London,2021,4541,378,8,High Liquidity
Newham,FALSE,East London,2021,3856,321,9,High Liquidity
Ealing,FALSE,West London,2021,3079,257,10,High Liquidity
Barnet,FALSE,North West London,2021,3012,251,11,Moderate Liquidity
Camden,TRUE,North West London,2021,2955,246,12,Moderate Liquidity
Islington,TRUE,North London,2021,2687,224,13,Moderate Liquidity
Merton,FALSE,South West London,2021,2428,202,14,Moderate Liquidity
Westminster,TRUE,West London,2021,2335,195,15,Moderate Liquidity
Barnet,FALSE,North London,2021,2166,181,16,Moderate Liquidity
Enfield,FALSE,North London,2021,2164,180,17,Moderate Liquidity
Hammersmith and Fulham,TRUE,West London,2021,2122,177,18,Moderate Liquidity
Brent,FALSE,North West London,2021,1945,162,19,Moderate Liquidity
Hackney,FALSE,East London,2021,1720,143,20,Moderate Liquidity
Croydon,FALSE,South East London,2021,1464,122,21,Lower Liquidity
Hammersmith and Fulham,TRUE,South West London,2021,1378,115,22,Lower Liquidity
Kensington and Chelsea,TRUE,South West London,2021,1350,113,23,Lower Liquidity
Kensington and Chelsea,TRUE,West London,2021,1132,94,24,Lower Liquidity
Lambeth,TRUE,South East London,2021,988,82,25,Lower Liquidity
Westminster,TRUE,South West London,2021,916,76,26,Lower Liquidity
Hounslow,FALSE,West London,2021,878,73,27,Lower Liquidity
Hackney,FALSE,North London,2021,855,71,28,Lower Liquidity
Richmond upon Thames,FALSE,South West London,2021,710,59,29,Lower Liquidity
Bromley,FALSE,South East London,2021,495,41,30,Lower Liquidity
Westminster,TRUE,North West London,2021,460,38,31,Thin Market
Camden,TRUE,West Central London,2021,439,37,32,Thin Market
Redbridge,FALSE,East London,2021,409,34,33,Thin Market
City of London,TRUE,East Central London,2021,400,33,34,Thin Market
Islington,TRUE,East Central London,2021,348,29,35,Thin Market
Bexley,FALSE,South East London,2021,320,27,36,Thin Market
Hackney,FALSE,East Central London,2021,237,20,37,Thin Market
Westminster,TRUE,West Central London,2021,96,8,38,Thin Market
Camden,TRUE,North London,2021,47,4,39,Thin Market
Wandsworth,FALSE,South West London,2022,7023,585,1,High Liquidity
Tower Hamlets,FALSE,East London,2022,5102,425,2,High Liquidity
Lewisham,FALSE,South East London,2022,4232,353,3,High Liquidity
Lambeth,TRUE,South West London,2022,4181,348,4,High Liquidity
Southwark,TRUE,South East London,2022,4121,343,5,High Liquidity
Haringey,FALSE,North London,2022,3993,333,6,High Liquidity
Greenwich,FALSE,South East London,2022,3961,330,7,High Liquidity
Waltham Forest,FALSE,East London,2022,3794,316,8,High Liquidity
Newham,FALSE,East London,2022,3390,283,9,High Liquidity
Ealing,FALSE,West London,2022,2984,249,10,High Liquidity
Camden,TRUE,North West London,2022,2806,234,11,Moderate Liquidity
Islington,TRUE,North London,2022,2577,215,12,Moderate Liquidity
Barnet,FALSE,North West London,2022,2362,197,13,Moderate Liquidity
Westminster,TRUE,West London,2022,2185,182,14,Moderate Liquidity
Merton,FALSE,South West London,2022,2039,170,15,Moderate Liquidity
Barnet,FALSE,North London,2022,1853,154,16,Moderate Liquidity
Enfield,FALSE,North London,2022,1787,149,17,Moderate Liquidity
Brent,FALSE,North West London,2022,1745,145,18,Moderate Liquidity
Hammersmith and Fulham,TRUE,West London,2022,1680,140,19,Moderate Liquidity
Kensington and Chelsea,TRUE,South West London,2022,1443,120,20,Moderate Liquidity
Hackney,FALSE,East London,2022,1415,118,21,Lower Liquidity
Hammersmith and Fulham,TRUE,South West London,2022,1337,111,22,Lower Liquidity
Croydon,FALSE,South East London,2022,1183,99,23,Lower Liquidity
Kensington and Chelsea,TRUE,West London,2022,1091,91,24,Lower Liquidity
Westminster,TRUE,South West London,2022,1021,85,25,Lower Liquidity
Lambeth,TRUE,South East London,2022,845,70,26,Lower Liquidity
Hounslow,FALSE,West London,2022,801,67,27,Lower Liquidity
Hackney,FALSE,North London,2022,734,61,28,Lower Liquidity
Richmond upon Thames,FALSE,South West London,2022,593,49,29,Lower Liquidity
Westminster,TRUE,North West London,2022,587,49,30,Lower Liquidity
Bromley,FALSE,South East London,2022,425,35,31,Thin Market
Camden,TRUE,West Central London,2022,398,33,32,Thin Market
Bexley,FALSE,South East London,2022,397,33,33,Thin Market
City of London,TRUE,East Central London,2022,376,31,34,Thin Market
Redbridge,FALSE,East London,2022,329,27,35,Thin Market
Islington,TRUE,East Central London,2022,264,22,36,Thin Market
Hackney,FALSE,East Central London,2022,77,6,37,Thin Market
Westminster,TRUE,West Central London,2022,58,5,38,Thin Market
Camden,TRUE,North London,2022,28,2,39,Thin Market
Wandsworth,FALSE,South West London,2023,5009,417,1,High Liquidity
Lambeth,TRUE,South West London,2023,3364,280,2,High Liquidity
Southwark,TRUE,South East London,2023,3343,279,3,High Liquidity
Tower Hamlets,FALSE,East London,2023,3310,276,4,High Liquidity
Haringey,FALSE,North London,2023,3293,274,5,High Liquidity
Waltham Forest,FALSE,East London,2023,3081,257,6,High Liquidity
Lewisham,FALSE,South East London,2023,3066,256,7,High Liquidity
Greenwich,FALSE,South East London,2023,3032,253,8,High Liquidity
Newham,FALSE,East London,2023,2604,217,9,High Liquidity
Ealing,FALSE,West London,2023,2351,196,10,High Liquidity
Camden,TRUE,North West London,2023,2256,188,11,Moderate Liquidity
Islington,TRUE,North London,2023,2072,173,12,Moderate Liquidity
Westminster,TRUE,West London,2023,1925,160,13,Moderate Liquidity
Barnet,FALSE,North West London,2023,1769,147,14,Moderate Liquidity
Hammersmith and Fulham,TRUE,West London,2023,1575,131,15,Moderate Liquidity
Merton,FALSE,South West London,2023,1572,131,16,Moderate Liquidity
Barnet,FALSE,North London,2023,1478,123,17,Moderate Liquidity
Enfield,FALSE,North London,2023,1362,114,18,Moderate Liquidity
Hammersmith and Fulham,TRUE,South West London,2023,1362,114,18,Moderate Liquidity
Kensington and Chelsea,TRUE,South West London,2023,1285,107,20,Moderate Liquidity
Hackney,FALSE,East London,2023,1174,98,21,Lower Liquidity
Brent,FALSE,North West London,2023,1158,97,22,Lower Liquidity
Westminster,TRUE,South West London,2023,1074,90,23,Lower Liquidity
Croydon,FALSE,South East London,2023,966,81,24,Lower Liquidity
Lambeth,TRUE,South East London,2023,865,72,25,Lower Liquidity
Kensington and Chelsea,TRUE,West London,2023,829,69,26,Lower Liquidity
Hounslow,FALSE,West London,2023,678,57,27,Lower Liquidity
Hackney,FALSE,North London,2023,551,46,28,Lower Liquidity
Richmond upon Thames,FALSE,South West London,2023,461,38,29,Lower Liquidity
Westminster,TRUE,North West London,2023,411,34,30,Lower Liquidity
Camden,TRUE,West Central London,2023,392,33,31,Thin Market
Islington,TRUE,East Central London,2023,371,31,32,Thin Market
Bromley,FALSE,South East London,2023,332,28,33,Thin Market
City of London,TRUE,East Central London,2023,325,27,34,Thin Market
Redbridge,FALSE,East London,2023,265,22,35,Thin Market
Bexley,FALSE,South East London,2023,256,21,36,Thin Market
Hackney,FALSE,East Central London,2023,151,13,37,Thin Market
Camden,TRUE,North London,2023,111,9,38,Thin Market
Westminster,TRUE,West Central London,2023,80,7,39,Thin Market
Wandsworth,FALSE,South West London,2024,5592,466,1,High Liquidity
Southwark,TRUE,South East London,2024,3912,326,2,High Liquidity
Greenwich,FALSE,South East London,2024,3614,301,3,High Liquidity
Lambeth,TRUE,South West London,2024,3591,299,4,High Liquidity
Tower Hamlets,FALSE,East London,2024,3590,299,5,High Liquidity
Lewisham,FALSE,South East London,2024,3572,298,6,High Liquidity
Haringey,FALSE,North London,2024,3500,292,7,High Liquidity
Waltham Forest,FALSE,East London,2024,3410,284,8,High Liquidity
Newham,FALSE,East London,2024,3024,252,9,High Liquidity
Camden,TRUE,North West London,2024,2763,230,10,High Liquidity
Ealing,FALSE,West London,2024,2448,204,11,Moderate Liquidity
Islington,TRUE,North London,2024,2310,193,12,Moderate Liquidity
Westminster,TRUE,West London,2024,1973,164,13,Moderate Liquidity
Barnet,FALSE,North West London,2024,1929,161,14,Moderate Liquidity
Merton,FALSE,South West London,2024,1783,149,15,Moderate Liquidity
Hammersmith and Fulham,TRUE,West London,2024,1673,139,16,Moderate Liquidity
Barnet,FALSE,North London,2024,1609,134,17,Moderate Liquidity
Enfield,FALSE,North London,2024,1564,130,18,Moderate Liquidity
Brent,FALSE,North West London,2024,1474,123,19,Moderate Liquidity
Hammersmith and Fulham,TRUE,South West London,2024,1364,114,20,Moderate Liquidity
Kensington and Chelsea,TRUE,South West London,2024,1345,112,21,Lower Liquidity
Hackney,FALSE,East London,2024,1268,106,22,Lower Liquidity
Croydon,FALSE,South East London,2024,956,80,23,Lower Liquidity
Kensington and Chelsea,TRUE,West London,2024,919,77,24,Lower Liquidity
Lambeth,TRUE,South East London,2024,876,73,25,Lower Liquidity
Westminster,TRUE,South West London,2024,860,72,26,Lower Liquidity
Hounslow,FALSE,West London,2024,789,66,27,Lower Liquidity
Hackney,FALSE,North London,2024,687,57,28,Lower Liquidity
Islington,TRUE,East Central London,2024,650,54,29,Lower Liquidity
Richmond upon Thames,FALSE,South West London,2024,552,46,30,Lower Liquidity
City of London,TRUE,East Central London,2024,468,39,31,Thin Market
Westminster,TRUE,North West London,2024,437,36,32,Thin Market
Bromley,FALSE,South East London,2024,351,29,33,Thin Market
Camden,TRUE,West Central London,2024,348,29,34,Thin Market
Redbridge,FALSE,East London,2024,322,27,35,Thin Market
Bexley,FALSE,South East London,2024,238,20,36,Thin Market
Westminster,TRUE,West Central London,2024,95,8,37,Thin Market
Hackney,FALSE,East Central London,2024,67,6,38,Thin Market
Camden,TRUE,North London,2024,41,3,39,Thin Market
